"occur_date","occur_time","Type","x","y","hour"
2014-10-24,"15:25:00","BURGLARY-RESIDENCE",-84.34626,33.75011,15
2014-12-25,"12:30:00","LARCENY-NON VEHICLE",-84.3841,33.83399,12
2014-11-04,"20:00:00","AUTO THEFT",-84.38198,33.75168,20
2014-12-16,"7:00:00","LARCENY-NON VEHICLE",-84.38973,33.72983,7
2014-01-21,"13:00:00","BURGLARY-RESIDENCE",-84.37074,33.71881,13
2014-10-09,"19:17:00","LARCENY-FROM VEHICLE",-84.39054,33.76329,19
2014-06-15,"14:00:00","LARCENY-NON VEHICLE",-84.3759,33.84183,14
2014-11-15,"14:50:00","LARCENY-NON VEHICLE",-84.43407,33.73856,14
2014-11-01,"19:20:00","AUTO THEFT",-84.49384,33.78784,19
2014-12-25,"18:00:00","BURGLARY-RESIDENCE",-84.4747,33.70637,18
2014-12-24,"22:45:00","ROBBERY-PEDESTRIAN",-84.41742,33.75634,22
2014-01-16,"9:00:00","BURGLARY-RESIDENCE",-84.43469,33.82817,9
2014-12-26,"22:00:00","LARCENY-FROM VEHICLE",-84.51059,33.73454,22
2014-12-05,"7:30:00","BURGLARY-RESIDENCE",-84.41907,33.7568,7
2014-01-07,"21:00:00","LARCENY-FROM VEHICLE",-84.39146,33.7626,21
2014-12-18,"21:30:00","AUTO THEFT",-84.36744,33.82039,21
2014-12-23,"12:25:00","LARCENY-NON VEHICLE",-84.35467,33.7734,12
2014-11-16,"7:30:00","BURGLARY-RESIDENCE",-84.4059,33.68116,7
2014-12-18,"19:00:00","LARCENY-FROM VEHICLE",-84.38601,33.76452,19
2014-11-08,"13:30:00","AUTO THEFT",-84.37519,33.73912,13
2014-12-14,"22:40:00","ROBBERY-COMMERCIAL",-84.38893,33.77478,22
2014-12-24,"3:55:00","AUTO THEFT",-84.47705,33.77319,3
2014-12-24,"11:30:00","LARCENY-NON VEHICLE",-84.38023,33.77067,11
2014-12-16,"16:30:00","LARCENY-NON VEHICLE",-84.38493,33.83468,16
2014-12-29,"14:30:00","LARCENY-FROM VEHICLE",-84.40069,33.75274,14
2014-12-19,"15:00:00","LARCENY-NON VEHICLE",-84.467,33.75153,15
2014-12-26,"18:30:00","LARCENY-FROM VEHICLE",-84.38782,33.78458,18
